receptor,van_der_Waals,hydrogen_bonding,hydrophobic_contact,tors,exp_binding_affinity
2j27,-224.673,0,0,3,3.52
2j2u,-645.727,0,27.4661,5,7.33
2j34,-604.796,0,23.7793,5,7.82
2j47,-504.403,0.639053,32.5222,5.5,5.41
2j4g,-448.866,0.354162,40.2444,4.5,6.6
2j4i,-709.422,0,52.757,10,9
2j62,-645.681,0.412102,81.1485,7.5,11.34
2j75,-303.861,0.533997,6.79268,3,6.65
2j77,-307.576,0.672811,0,3,4.89
2j79,-352.433,0,0,3.5,5.96
2j7b,-367.223,0,0,3,6.62
2j7d,-453.871,0,0,5.5,7.13
2j7e,-464.758,0,6.39155,6,7.32
2j7f,-425.889,0,0,4,6.35
2j7g,-447.283,0,6.52478,5,7
2j94,-625.217,0,20.4055,6,6.27
2j95,-615.441,0,26.4007,6,8.4
2jdh,-287.954,0,1,9,6.51
2jdk,-289.435,0,1,9.5,6.54
2jdm,-217.805,0,1.24893,2.5,5.4
2jdp,-211.385,0,2,2.5,6.6
2jds,-616.362,0,63.7068,6.5,8.2
2jdu,-242.696,0,1,2.5,6.72
2jew,-368.633,0,25.1027,7.5,6.69
2jf4,-598.523,1.59362,26.2481,8,8.15
2jfh,-414.869,0,28.1176,10,3.06
2jfz,-602.28,0,86.9899,5,5.24
2jg0,-684.509,0.931749,0,7,7.82
2jgs,-414.905,0,42.9916,5.5,6.62
2jh0,-590.511,0,19.7231,6,8.7
2jh5,-568.237,0,17.4816,6,6.44
2jh6,-569.529,0,18.672,7,7.77
2jiw,-405.809,0,22.5203,4,4.59
2jjb,-599.135,0,0,8,7.92
2jke,-277.161,0,0,3,4.23
2jkh,-611.15,0,17.9862,5,8.05
2jkp,-319.536,0,13.6524,2,4.23
2jxr,-748.734,0,84.0643,13,7.05
2mas,-423.025,0,28.6922,4,7.52
2nmx,-306.729,0,23.0282,4.5,5.57
2nmz,-851.412,0,89.4648,12,8.37
2nn1,-296.493,0,24.6844,4.5,5.82
2nn7,-324.903,0,31.1879,6.5,6.52
2nnd,-275.302,0,38.2797,3,6.06
2nsj,-466.119,1.91185,0,6,4.79
2nsl,-450.945,1.34632,0,6,4.68
2nt7,-696.103,0.183168,47.0464,10,6.52
2nta,-461.209,0,36.3097,2,4.8
2o0u,-627.948,0,92.2318,4,5.49
2o4j,-675.139,0.857352,141.482,6.5,10.1
2o4k,-923.302,0,125.099,14.5,10.46
2o4l,-813.522,1.62208,97.8456,11.5,9.22
2o4n,-828.409,1.57063,111.656,11.5,7.82
2o4p,-807.045,0.0580198,105.821,11.5,10.72
2o4r,-665.203,0.879874,136.496,6.5,9.4
2o4s,-894.57,0,126.611,12.5,10.51
2o4z,-156.305,0,0,2,6.25
2o8h,-448.688,0,53.9221,5,7.6
2oag,-584.734,1,55.8602,4.5,8.47
2oax,-653.006,0,88.9429,2,8.65
2obf,-604.354,0,97.5891,4.5,8.85
2oc2,-865.009,1,91.0906,11,8.52
2ogy,-480.398,0,18.8817,8,4.48
2oi0,-458.403,0,32.3238,5.5,7.55
2oi2,-355.397,0,12.586,8.5,6.3
2oiq,-753.139,0,73.8855,7,5
2ojg,-454.843,0,46.6171,3,5.64
2ojj,-580.43,0,63.3733,5.5,8.7
2olb,-714.981,0.250239,42.5539,17,5.54
2ole,-454.375,0,56.1238,7.5,7.25
2on6,-437.312,0,2.28055,4,6.76
2ot1,-334.712,0,43.723,3,4
2ov4,-733.988,0,0,11,4.74
2ovv,-460.309,0,67.9365,5,7.92
2ovy,-453.452,0,43.6031,5,8.4
2oxd,-311.277,0,41.0799,0,6.82
2oxn,-309.571,0,7.9062,6.5,7.44
2oxx,-304.724,0,38.3518,0,6.7
2oxy,-265.028,0,37.4415,0,6.52
2oym,-469.13,0.217856,29.4978,6.5,5
2p09,-479.962,0,0,9,6.35
2p16,-714.466,0,63.12,5,10.1
2p2a,-684.724,0,54.9312,7,6.12
2p3a,-1026.7,0,112.576,22,7.96
2p3b,-947.094,0,107.113,22,8.48
2p3c,-1049.36,1,123.292,22,7.62
2p3i,-272.415,1.53829,11.3107,8,3.48
2p4j,-1001.67,0.194067,92.3174,15.5,8.96
2p4s,-498.181,0,11.1849,4,9.51
2p53,-457.796,0,0,6.5,7.46
2p7a,-237.683,0,51.843,0.5,6.1
2p7g,-422.265,0,109.005,3,6.53
2p7z,-594.36,0,115.455,8.5,6.58
2p95,-647.486,0,71.9705,5,9.37
2pbw,-461.899,0,39.831,7,8.25
2pcp,-489.762,0,97.6611,2,8.7
2pfy,-291.041,0,26.1362,1,6.52
2pgz,-488.689,0,64.9259,5,5.74
2pk5,-1066.41,0.683811,110.178,13,10.7
2pk6,-1009.25,0.680783,109.044,13,10.89
2pmk,-409.34,0.0667251,0.0405374,9,5.92
2pnc,-303.972,0,25.6466,2,3.33
2pou,-360.51,0,26.991,3,7.42
2pov,-355.076,0,22.2247,3.5,7.12
2pow,-377.109,0,21.7227,4.5,7.2
2pq9,-617.487,1.52743,25.9233,8,8.11
2pqb,-604.959,0.914541,13.7765,8,7.2
2pqc,-528.882,0.601458,10.6219,6.5,5.74
2pql,-353.165,0,56.5766,2.5,7.28
2pqz,-739.74,0.78663,103.591,8,5.67
2psu,-698.633,0.011972,73.3897,12.5,7.62
2psv,-650.813,0.969386,65.1526,11.5,7.24
2ptz,-264.018,0,0,2.5,7.82
2pu1,-272.533,0,0.877861,2.5,5.85
2pu2,-395.256,0,47.4785,4.5,4.43
2pv1,-718.486,0,72.1187,20,7.14
2pvh,-489.347,0,42.8956,4,6.59
2pvj,-563.095,0,37.5103,5,8.1
2pvk,-589.523,0,39.8085,5,8.3
2pvl,-548.487,0,34.2463,4,7.62
2pvm,-524.71,0,34.6886,6,6.44
2pvu,-313.74,1.97577,26.9655,6,6.31
2pwc,-784.932,0.554595,87.5468,9,6.57
2pwd,-276.232,0,0,3,4.4
2pwg,-324.668,0,11.3477,2,4.82
2pwr,-921.343,0.72148,104.487,10,6.59
2py4,-732.705,0.611436,11.4042,8.5,6.7
2pyi,-593.346,0,11.1142,7,3.75
2pym,-756.12,0.483074,85.6357,10,6.82
2pyn,-766.367,1.01013,87.9419,10,7.57
2pyy,-262.672,1.12516,11.1416,4.5,4.6
2q1q,-322.93,0,24.8249,2.5,8.15
2q2a,-388.101,1.56456,16.2866,5.5,7.41
2q38,-293.223,0,32.2736,0,5.23
2q54,-822.32,0,83.4659,12.5,9.01
2q55,-882.161,0,105.895,11.5,8.69
2q5k,-872.224,0,116.31,12.5,11.3
2q63,-772.312,0.202541,85.5786,10,7.18
2q64,-776.964,0.677681,89.7838,10,8.52
2q6f,-785.42,0,40.8625,16,5.44
2q7q,-266.515,0.099885,42.3897,1.5,5.3
2q7y,-600.817,0,169.542,27.5,4.3
2q88,-321.756,0,23.0172,1,5.8
2q89,-350.299,0,13.9307,1.5,6.3
2q8h,-150.232,0.176059,9.92364,1,3
2q8m,-461.257,0.656341,0,5.5,4.03
2q8z,-490.266,1.09493,6.05062,5.5,5.68
2qbs,-510.635,0.280027,39.5858,7,6.68
2qbu,-649.556,2.08694,3.05005,8.5,6.19
2qbw,-1081.46,0.789085,60.3047,18.5,7.25
2qci,-791.686,0.287003,61.5056,10.5,8.34
2qd6,-767.759,0,61.3514,10.5,8.68
2qd7,-756.755,0,59.6355,10.5,9.1
2qd8,-772.757,0,56.9636,10.5,9.07
2qdt,-202.029,0,7.82916,4.5,5.19
2qfo,-238.83,0,17.3868,1.5,4.7
2qft,-252.612,0.833341,0,4,5.26
2qfu,-253.722,0.872726,0,4,4.18
2qg0,-507.049,0,17.2485,6.5,5.72
2qg2,-514.308,0,47.2996,4,5.4
2qhd,-274.211,0.119873,31.1315,10,5.38
2qhy,-744.706,0,77.4054,10.5,7.48
2qhz,-760.547,0,94.8563,10.5,7.28
2qi0,-799.867,0,100.496,10.5,7.38
2qi1,-797.475,0,83.9844,11.5,7.3
2qi3,-666.629,0,65.7676,12,10.2
2qi4,-773.293,0,78.9507,11,10.44
2qi5,-774.676,0,85.3596,12.5,10.85
2qi6,-758.598,0,76.1623,10,10.57
2qi7,-684.112,0.564403,76.7381,14.5,10.21
2qm9,-588.322,0,66.7287,5.5,7.77
2qmg,-892.499,0.368645,91.6345,10.5,9.15
2qnn,-963.629,1.45273,107.374,12,7.15
2qnp,-799.801,0,108.282,8,6.41
2qpq,-278.254,0,7.51779,4.5,6.37
2qpu,-330.019,0.872601,0.375792,9.5,3.6
2qrg,-550.439,0.726208,23.0782,5,5.18
2qrh,-499.459,0.720437,24.909,4,4.71
2qrk,-389.871,0,0,5.5,4.26
2qrl,-169.341,0.867059,0,3,4
2qrm,-562.118,0.3634,23.64,5,4.03
2qrp,-629.057,0,30.066,4,6.2
2qrq,-479.467,0,26.4256,4,5.1
2qry,-612.274,0,30.38,6.5,8.64
2qta,-640.539,0,27.5135,8,5.76
2qtg,-470.446,0,3.2167,4,5.08
2qtn,-373.214,0.897956,16.0265,6,3.42
2qtt,-506.55,0,0,3.5,4.32
2qu6,-768.337,0,62.9442,7,8.52
2qv7,-486.725,0,0,7,3.66
2qw1,-163.803,0,0,4,3.9
2qwb,-335.586,0,9.73543,7.5,2.74
2qwc,-335.55,1.08438,10.4465,7,3.55
2qwd,-324.015,0.812059,10.4128,7,4.85
2qwe,-417.499,0.980072,10.2688,7.5,7.48
2qwf,-437.677,0.979376,18.2532,6,5.67
2qx0,-329.588,0,0,2,6.11
2qzr,-505.698,0,25.9858,4,7.26
2r0h,-378.337,0,3.69535,14,3.51
2r0z,-821.852,1.34973,53.9762,21,5.47
2r1y,-234.646,0,3.76793,5,4.51
2r23,-402.165,0.17811,1.88176,15,3.72
2r2b,-399.102,0,5.17493,21,4.2
2r2m,-580.592,0,78.3063,10,7.33
2r2w,-472.181,0,12.5424,4,4.47
2r38,-878.806,0.843472,95.8322,10,7.44
2r3t,-866.815,0.880755,96.6462,10,5.85
2r3w,-792.329,0.290057,85.2958,9,6.89
2r43,-765.281,0.681338,87.0441,9,6
2r58,-194.622,0,22.5111,6.5,2
2r59,-799.304,0.692201,109.789,10.5,8.19
2r5a,-178.143,0,24.3511,6.5,2.6
2r5p,-895.821,0,116.005,12,8.48
2r75,-686.328,0.767878,0,9.5,6.15
2r9x,-395.729,0,48.5827,5,4.85
2ra0,-793.31,0,40.0344,6.5,7.8
2ra6,-245.252,0,81.6381,1.5,4.52
2rcb,-221.378,0,0,3,6.79
2rcn,-502.871,2.15295,0,7.5,6
2rd6,-413.248,0,49.426,2,8.3
2reg,-254.525,0,0,2.5,5.64
2rfh,-298.068,0,36.2314,5,6.82
2ri9,-181.981,0,0,1.5,3.22
2rin,-320.139,0,7.27758,4,4
2rio,-498.272,0.56349,0,7,4.69
2rk8,-170.278,1,0,1,3.64
2rka,-188.679,0,0,3,3
2rkd,-188.546,0.785655,3.65872,3,2.72
2rke,-202.131,0.569899,0,2,4.08
2rkf,-805.494,0,100.026,12.5,9.08
2rkg,-797.755,0,92.1809,12.5,8.09
2rkm,-469.734,0,23.1427,11.5,3.9
2sim,-364.572,0.561927,11.9733,7,3.42
2std,-433.153,0,104.981,4,9.85
2tmn,-280.188,0,20.8637,4,5.89
2tpi,-412.075,0.877324,20.3718,5.5,4.31
2usn,-463.133,0,56.2997,9,6.51
2uwd,-568.668,0,29.3854,5,8.35
2uwl,-577.481,0,22.4771,6,8.4
2uwo,-619.201,0,22.8886,6,8.7
2uwp,-579.894,0,22.838,7,6.81
2uxi,-331.492,0,39.524,6,7.3
2uxz,-927.898,0,135.471,13,8.48
2uy0,-963.423,0,137.144,13,6.92
2uy3,-311.663,0,8.1485,0,3.22
2uy4,-270.007,0,10.8309,1.5,4.68
2uy5,-431.689,0,15.1586,2,5.49
2uyn,-209.879,0,16.9715,1.5,2.7
2uyq,-321.412,0,0,2,5.68
2uz9,-333.546,0,0,0,5.71
2v25,-262.896,1.11063,4.90212,3.5,5.72
2v2c,-235.811,0,0,3,3.41
2v2h,-229.718,0,0,3,3.77
2v2q,-448.672,0,7.90778,7.5,4.15
2v2v,-448.96,0,8.74111,6.5,4.07
2v3d,-367.716,0,17.452,6,3.94
2v3u,-231.252,0,0,3,3
2v54,-578.083,0.173545,20.8117,6.5,4.6
2v57,-390.413,0,36.8815,1,7.1
2v58,-427.809,0,42.6009,2,9.09
2v59,-444.71,0,30.9563,4,7.74
2v77,-443.858,0.528948,34.9111,8,5.06
2v88,-755.131,0.626497,50.5726,25.5,4.09
2v8w,-408.565,0,0,9,6.82
2v95,-516.909,0.832223,104.557,3.5,8.3
2vb8,-365.03,0,36.7276,2.5,4.6
2vba,-402.498,0,55.9231,3,4.6
2vc7,-426.013,0,76.2063,9,3.36
2vc9,-349.488,0,14.5411,3.5,8.44
2ves,-554.84,0,68.6731,5.5,7.7
2vfk,-339.837,0,0,5,3.71
2vh0,-694.506,0,45.0881,8,8.51
2vh6,-706.496,0,110.82,8,9.7
2vhj,-507.706,0.0714959,0,7,3.9
2vj8,-757.753,0.829441,128.511,13,8.7
2vjx,-321.51,0,9.27122,2.5,4.96
2vk2,-364.19,0,0,3.5,6.89
2vk6,-412.212,0,16.1715,7,5.3
2vl4,-319.867,0,9.52963,3,6.01
2vmc,-199.737,0,0.188494,4,2.94
2vmd,-191.896,0,0,4,3.02
2vmf,-404.07,0,0,3,5.85
2vnp,-352.859,0.374926,0,6,9.92
2vnt,-530.715,0,7.99577,4,8
2vo4,-215.673,0,17.4153,2.5,4.94
2vo5,-481.036,0,41.2219,5,4.89
2vot,-531.361,0,21.8604,6,7.14
2vpe,-647.3,0.589336,42.1388,23.5,4.94
2vpn,-317.738,0.844385,26.8671,1,6.72
2vpo,-339.151,0.0168018,16.6548,1.5,5.42
2vqt,-416.755,0,0,5.5,6
2vrj,-514.238,0.700737,31.2154,9.5,6.3
2vsl,-500.803,0,59.2246,12,8.4
2vt3,-463.298,0,0,9,4.15
2vuk,-417.215,0,49.0807,3,3.9
2vvc,-751.344,0,71.4136,7,8.52
2vvp,-319.172,0,0,7.5,3.4
2vvs,-504.829,0,25.0465,6.5,7.34
2vvu,-684.108,0,72.7113,6.5,8.1
2vvv,-713.301,0,69.1084,6,8.22
2vw1,-405.743,1,12.9521,7,3.52
2vw2,-276.63,0.584591,26.0945,4,3.3
2vwc,-565.732,0,51.4329,5,6.62
2vwl,-722.866,0,74.7154,7.5,7.02
2vwm,-790.905,0,76.5982,9,7.03
2vwn,-718.35,0,71.9817,6.5,8
2vwo,-719.346,0,73.1455,6,7.51
2vxn,-253.793,0.144528,0,3.5,5
2vyt,-166.078,0,25.2627,6.5,2.74
2vzr,-208.565,0,0,3,4.28
2w08,-168.171,0,11.0696,4.5,3.42
2w26,-647.45,0,39.0529,5,9.4
2w47,-243.196,0,5.64495,6.5,4.98
2w5g,-373.242,0,0,9,6.07
2w67,-375.823,0,13.9159,2.5,4.96
2w7y,-619.918,1.66747,11.0512,11.5,6.08
2w8j,-510.239,1.99407,5.7809,7,2.96
2w8w,-509.339,2,6.65848,7,2.12
2w8y,-726.194,0,109.922,3.5,9.09
2w9h,-398.283,0.876327,33.9582,5.5,6.37
2wb5,-503.69,0.319848,49.5778,7.5,9.13
2wc3,-494.452,0,32.3889,9,6.08
2wc4,-482.38,0,30.4332,9,5.29
2we3,-452.318,0,12.6378,9,4.43
2web,-723.504,0.406091,102.797,11,5.12
2wec,-603.444,0.129458,68.9356,11,3.96
2wed,-667.288,0.238465,78.9628,7,6.1
2weh,-264.761,0,29.7832,1.5,5.95
2wej,-229.796,0,26.7989,1.5,6.08
2weo,-251.197,0,26.3812,1.5,6.93
2weq,-572.473,0.651085,40.657,7,5.9
2wf5,-408.564,1.78896,0,5,6
2wgj,-595.977,0,62.3026,5.5,8.7
2whp,-427.216,0,58.8651,5,4
2wjg,-480.996,0.6084,0,7.5,7.1
2wk6,-256.046,0.35372,12.3087,0,3.32
2wky,-421.64,0,27.0088,3.5,8.59
2wkz,-959.294,0,146.946,13,8.77
2wl0,-970.357,0,127.473,13,7.8
2wly,-518.676,0,17.4326,8.5,6.6
2wlz,-531.882,0,19.0241,7.5,4.6
2wm0,-731.184,0,28.6786,12.5,4.52
2wnj,-525.722,0,77.688,4,6.48
2wor,-333.857,0,27.5299,3,3.9
2wos,-427.157,0,34.6069,3,3.9
2wq5,-484.17,0,65.7596,5,3.74
2wqp,-557.356,0,7.67418,11.5,5.51
2wr8,-726.592,0,6.35487,9,5.44
2wuf,-486.726,0,62.1764,7,4.29
2wva,-706.523,0,34.0958,8.5,10.7
2wvz,-353.931,0,0,3,4.02
2wyf,-284.688,0,0,8.5,4.43
2wyg,-612.316,0,65.4286,7,8.7
2wyj,-613.29,0,66.1422,7,9
2wzf,-565.237,0,7.82451,7,7
2wzm,-691.735,0,0,13,5.22
2wzs,-310.802,0,0,3,3.85
2x09,-321.948,0.476814,9.40977,3,3.76
2x0y,-426.038,0,0,4,4.6
2x2r,-500.736,0,100.201,7,7.12
2x4z,-606.827,0,39.946,5,8.57
2x6x,-521.602,0,8.40862,16,3.68
2x7t,-404.51,0,47.5971,6,6.63
2x7u,-382.476,0,51.7949,4,5.27
2x8z,-286.333,0,20.9746,3.5,7.96
2x91,-541.423,0.150841,40.3204,10.5,6.74
2x95,-657.227,0.463669,46.7793,12.5,4.95
2x96,-839.814,1,73.8313,11,4.03
2x97,-613.754,0,40.7723,11,5.66
2xab,-474.531,0,62.8517,3,9.27
2xb7,-614.352,0,35.6688,9,9.19
2xbp,-753.175,0,0,9.5,5.02
2xbw,-813.222,0,78.0424,6.5,8
2xbx,-789.636,0,78.7357,6,7.82
2xc0,-828.113,0,69.1812,7,6.72
2xc4,-796.074,0,83.0807,7,8.05
2xd9,-490.913,0.888717,53.9664,3.5,6.46
2xda,-538.753,0,64.3146,5.5,6.22
2xde,-457.125,0,80.1021,6,5.47
2xdk,-271.151,0,19.9587,1.5,3.6
2xdx,-362.685,0,22.7209,2.5,6.46
2xef,-1145.69,0.0729269,41.9332,39,9.84
2xeg,-1027.63,0.101658,42.2054,27,10.7
2xei,-922.498,0.0451213,39.2566,21,10.62
2xej,-684.317,0.868343,25.7767,24,8.87
2xg9,-357.762,0,0,7.5,4.15
2xhm,-635.641,1,59.8656,10,6.8
2xht,-410.847,0,48.6407,2.5,5.96
2xib,-273.65,0,12.8283,1.5,7.26
2xj1,-519.008,0,93.7761,5.5,7.55
2xj2,-496.639,0,75.7048,4,7.18
2xjg,-478.117,0,58.1577,3.5,7.82
2xjj,-484.066,0,61.1766,1.5,6.51
2xjx,-481.747,0,54.5975,5,9.15
2xm1,-390.89,0,13.7769,3.5,5.07
2xm2,-396.961,0,13.9116,4,4.62
2xmy,-580.143,0,44.1743,7,9.96
2xn3,-381.497,0,73.0701,3,5.92
2xn5,-472.205,0,40.7378,5.5,6.69
2xog,-531.926,0,3.02269,11,3.43
2xp7,-328.128,0.759864,26.0467,3,5.77
2xpc,-574.724,0,36.2787,8,3.9
2xpk,-642.811,0.565842,47.7875,9,11.3
2xxr,-273.324,0,13.5326,4.5,6.55
2xxt,-358.7,0,32.5026,4,8.05
2xxx,-277.402,0,14.0054,4.5,6.41
2xy9,-945.379,0.888411,112.187,13.5,9.19
2xyd,-992.3,1.69227,88.6822,13.5,6.82
2xye,-893.341,0,117.453,14.5,8.34
2xyf,-870.249,0,95.4857,14.5,8.44
2xyt,-638.219,0,77.2391,3,6.29
2y5f,-667.269,0,43.5918,7.5,8.7
2y5g,-631.622,0,25.1032,6,6.84
2y7i,-384.78,1.56925,15.2923,5.5,5.54
2y7p,-260.533,0,52.7386,1.5,5.47
2y7x,-691.481,0,73.1565,4,8.89
2y7z,-692.181,0,82.0174,5,8.7
2y80,-691.784,0,83.2181,5,8.05
2y81,-712.588,0,86.4179,5,8.7
2y82,-703.699,0,84.434,5,8.4
2y8c,-531.111,0,76.3208,10,6.4
2y9g,-235.844,1.08299,0,8,3.77
2ya6,-401.718,0.511301,16.2822,7,5.7
2ya7,-456.824,0.584262,15.0406,7.5,3.14
2ya8,-350.198,0.201471,33.6764,5.5,5.75
2yay,-655.772,0.596252,21.8012,9,6.1
2yaz,-509.05,0.686931,21.2271,4.5,5.14
2yb0,-428.808,0.59927,20.7404,3,3.85
2ybu,-536.028,0,6.60392,4,6.38
2ydt,-400.499,0,0,6.5,5.52
2ydw,-475.59,0,86.2618,5,7.34
2yek,-465.138,0,67.8907,5,7.21
2yel,-470.07,0,95.3932,5,7.28
2yfa,-178.706,0.845475,6.31309,3.5,5.07
2yfx,-499.077,0,46.521,5.5,8.09
2ygf,-588.831,0.660624,40.6886,5.5,5.09
2yhw,-377.205,0.0185281,5.34124,4,5.6
2yi0,-484.741,0,25.0016,4,8.12
2yi7,-477.442,0,25.6995,5,8.32
2yix,-640.243,0,76.9295,6,8.48
2yk1,-359.585,0,47.1698,1,8.13
2ylc,-340.033,0,9.56333,5,7.89
2yln,-200.615,0,0,3,7.68
2yme,-403.573,0,46.9462,2,7.66
2ypi,-231.926,0,0,3,4.82
2ypo,-305.283,1,38.7889,3.5,4.68
2ypp,-307.903,0.988118,34.2407,4,4.41
2yxj,-846.431,0,116.506,15,9.3
2yz3,-322.107,0,67.8247,5.5,6.66
2z1w,-333.069,0,21.0132,3,4.08
2z4o,-803.27,0.80611,64.5051,10.5,9.57
2z94,-97.2984,0,1.34983,1,5.85
2za0,-367.8,0,48.5758,5.5,6.64
2za5,-647.027,0,75.4569,4.5,8.43
2zc9,-583.618,0,75.1922,6.5,6.74
2zcs,-502.759,0,109.784,6,8.22
2zdk,-556.893,0,50.1011,7.5,6.37
2zdl,-538.871,0,40.6668,7.5,6.4
2zdm,-560.811,0,43.3789,7.5,6.41
2zdn,-533.337,0,44.4898,7.5,6.25
2zfp,-475.132,0,42.8588,5.5,5.17
2zfs,-568.669,0.365788,43.7309,7.5,6.54
2zft,-547.667,0,42.9101,7.5,6.52
2zgx,-512.876,0,43.1845,7,6.74
2zjw,-396.783,0.713038,43.477,3,7.7
2zkj,-558.418,0.629845,0,7.5,5.48
2zmm,-530.82,0.286559,45.3082,7,7.6
2zn7,-538.598,0,57.6131,8,7.89
2zpk,-672.19,0,59.6153,17.5,7.76
2zq0,-707.508,0,18.8224,15.5,6.82
2zq2,-597.859,0.546505,63.7091,7.5,6.56
2zwz,-327.009,0,13.8169,3,7.79
2zx6,-521.745,0,26.5186,5.5,10.6
2zx7,-464.401,0,20.9892,4.5,10.49
2zx8,-540.793,0,31.6156,4.5,9.64
2zxd,-303.596,0,31.1279,2.5,5.22
2zxg,-571.362,0,57.3179,8.5,8.82
2zym,-853.922,0,0,15,6.14
2zz1,-502.493,0,6.91137,5,4.54
2zz2,-510.708,0,6.06714,5,4.54
3a1c,-624.968,0,0,9,4
3a1d,-545.023,0,0,7,4.12
3a1e,-624.89,0.977372,0,9,2.66
3a1s,-418.163,0,0,7.5,4.83
3a2o,-800.566,0,88.4059,11,9.08
3a5y,-765.208,0.0529221,18.4548,12.5,7.96
3a6t,-491.047,0.742745,3.50681,5,7.28
3a9i,-265.143,0,8.09066,6,4.15
3aaq,-608.994,0,4.87444,11,3.3
3aas,-330.233,0,7.69988,4.5,4.51
3aau,-502.616,0.202245,8.86655,8,5.05
3acl,-642.278,0,79.9558,7,6.22
3acx,-535.977,0,142.816,9,5.7
3adv,-257.316,0,19.5386,3,3.03
3afk,-302.305,0,1.69654,14,3.6
3agl,-971.11,1.04028,24.4053,27.5,7.8
3ahn,-778.746,0.965075,78.1888,16,7.05
3aho,-754.686,0,54.7188,13.5,7.05
3ai8,-300.548,0,9.77578,1.5,3.81
3aid,-610.315,0,85.9977,10.5,6.86
3alt,-229.146,0,0,8,2.92
3ama,-563.277,0,48.8095,5,6.53
3ao1,-297.882,0,14.5438,0.5,2.26
3ao2,-434.82,0,18.5397,1,3.77
3ao5,-424.55,0,19.9675,1,2.23
3ap4,-250.471,0.814735,0,8,3.92
3aqt,-233.686,0,31.9223,1,6.72
3arr,-400.601,0,25.2258,5,5.4
3arw,-397.504,0,84.4981,2,6.15
3arx,-433.589,0,34.9405,7,5.33
3axz,-531.704,1.16022,0,4,3.43
3b24,-250.085,0,10.4594,2,4.38
3b25,-358.549,0.619657,60.9517,2.5,6.07
3b26,-413.503,0,41.9264,1.5,6.64
3b2q,-632.008,0,0,9,4.55
3b3c,-259.878,0.270079,25.7158,3.5,3.98
3b3s,-210.941,0.890272,34.3719,3.5,2.55
3b3w,-219.555,0,18.843,3.5,4.19
3b3x,-218.459,0.346708,4.88151,4.5,3.6
3b4f,-460.016,0,39.0066,4,8.14
3b4p,-371.352,0,87.3866,3,5.4
3b50,-431.197,0.671612,12.1069,7.5,7.55
3b5j,-445.931,0,0,9,5.68
3b66,-708.978,0,79.1364,7.5,8.6
3b67,-724.162,0,70.3975,7.5,8.85
3b7i,-248.632,0.394555,19.5612,3.5,5.82
3b7j,-252.438,0,38.3624,0.5,5.17
3b7r,-597.333,0,36.3113,8.5,7.7
3b7u,-462.566,0,30.1759,6.5,7.74
3b92,-461.658,0,40.7664,7.5,8
3bbb,-440.065,0.783588,6.21536,10,7
3bbf,-460.559,1.13205,0,7.5,5.28
3be9,-584.167,0,81.3741,2,7.62
3bex,-339.02,0,24.3652,7,5.57
3bf1,-398.894,0,0,7,2.52
3bft,-339.7,0,7.90133,4,6.49
3bfu,-346.274,0,6.11645,4,6.27
3bgb,-676.113,0,80.9476,13,6.05
3bgc,-819.341,0,120.561,13,5.02
3bgq,-470.837,0,90.601,4,7.96
3bgs,-447.654,0,11.2309,4,9.42
3bkk,-711.025,0,78.004,11,6.08
3bkl,-767.284,0,82.5739,11,6.17
3bl0,-254.478,0,0,3.5,6.92
3bl1,-417.651,0,45.6559,3.5,5.6
3bpc,-331.316,0,5.87057,13.5,4.8
3bqc,-417.415,0.976919,67.5149,1.5,5.73
3bra,-154.122,0.915554,23.8863,3,2.7
3brn,-335.092,0,61.2627,3,8.7
3bu1,-219.502,0,11.9573,2.5,8.15
3buf,-169.338,0,24.8728,3,3.1
3bug,-207.543,0.693866,35.2912,4,3.18
3buh,-258.725,0.903508,40.2113,4,3.66
3bva,-934.374,0.401246,87.9724,23.5,6.52
3bvb,-748.823,0,68.1695,11,5.49
3bwj,-853.766,0.929924,21.9324,19.5,6.5
3bxe,-241.772,1.63409,0,4.5,5.48
3bxf,-423.819,0.137756,0,7.5,5.54
3bxg,-411.441,0.743301,0,5,4.96
3bxh,-375.378,1.58721,0,6,4.03
3bzf,-1008.72,0,115.887,25.5,4.52
3c2f,-283.901,0,0,8,2
3c2o,-281.066,0.769861,4.65871,2,3.35
3c2r,-278.381,0.715167,10.4986,2,3.11
3c2u,-449.953,0.556791,11.4541,12,2.9
3c39,-230.921,0.0745392,0,4.5,3.96
3c4h,-325.293,0,20.5759,0,5.7
3c52,-284.584,0,0,3.5,7.3
3c56,-403.924,0,0.950609,8.5,7.89
3c79,-438.59,0,23.0114,4,7.2
3c84,-453.381,0,23.3383,3,7.85
3c88,-532.456,0,11.7351,15.5,6.8
3c89,-556.456,0,15.5913,17,6.07
3c8a,-539.88,0,27.2166,16,6.18
3c8b,-560.088,0,28.8621,16,6.1
3c8e,-400.548,0,6.15825,10,4.15
3cct,-662.957,0.852096,62.6749,13.5,7.56
3ccw,-595.733,0.715049,39.5356,13,7.87
3ccz,-598.503,0.875225,35.67,13.5,7.29
3cd0,-625.172,0.82665,38.0429,13,7.57
3cd5,-702.923,0.69786,62.9068,12,7.9
3cd7,-678.725,0.725033,60.9503,13,7.84
3cda,-710.55,1.40402,59.6805,14.5,7.58
3cdb,-670.165,0.773133,59.3326,15,7.02
3cf8,-403.318,0,48.129,3.5,4.9
3cfn,-395.78,0.78544,63.0943,3,5
3cft,-296.183,0.741335,44.5333,1.5,4.19
